,Question,Answer,generated_answers
39,Is data on my cluster encrypted?,"By default, there is encryption at rest. The AWS Storage platform automatically encrypts your data before persisting it, and decrypts the data before retrieval. See [AWS EBS Encryption](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html) details.
There is also the ability to encrypt etcd in the cluster, and that would combine with AWS storage encryption, resulting in double the encryption (redundant), which adds up to 20% performance hit. For further details see [etcd encryption](https://docs.openshift.com/rosa/rosa_policy/rosa-service-definition.html#rosa-sdpolicy-etcd-encryption_rosa-service-definition).","Red Hat OpenShift Service on AWS (ROSA) provides encryption for data stored on the cluster. Data is encrypted at rest using AES-256 encryption. Additionally, data is encrypted in transit using TLS 1.2. For more information, please refer to the [ROSA Security Documentation](https://docs.openshift.com/rosa/4.5/security/index.html)."
40,When can etcd encryption be done with a ROSA cluster?,"Only at cluster creation time, can etcd encryption be enabled.
Note that this incurs additional overhead with negligible security risk mitigation.
See the prior question about EBS encryption.","When creating a ROSA cluster, the following infrastructure is provisioned:
- Virtual Machines
- Storage
- Load Balancers
- Networking
- Security Groups
- IAM Roles
- OpenID Connect (OIDC) Provider

For more information, please refer to the ROSA documentation on [AWS prerequisites](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-aws-policy-provisioned_rosa-sts-aws-prereqs)."
41,How is etcd encryption configured in a ROSA cluster?,The same as in OCP. The aescbc cypher is used and the setting is patched during cluster deployment. [Relevant Kubernetes documentation](https://kubernetes.io/docs/tasks/administer-cluster/encrypt-data/). For further details see [etcd encryption](https://docs.openshift.com/rosa/rosa_policy/rosa-service-definition.html#rosa-sdpolicy-etcd-encryption_rosa-service-definition).,"Etcd encryption can be enabled at cluster creation time in Red Hat OpenShift Service on AWS (ROSA). This encryption will encrypt the key values in etcd, but not the keys. The resources that will be encrypted include secrets, config maps, routes, OAuth access tokens, and OAuth authorize tokens. Enabling etcd encryption will incur a performance overhead of approximately 20%. For more information, please refer to the following links: 

- [Understanding process and security for ROSA](#rosa-policy-process-security)
- [ROSA life cycle](#rosa-life-cycle)
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)
- [Kubernetes Documentation](https://kubernetes.io/docs/tasks/administer-cluster/encrypt-data/)
- [AWS EBS Encryption](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html)
- [etcd encryption](https://docs.openshift.com/rosa/rosa_policy/rosa-service-"
42,What infrastructure is provisioned as part of a new ROSA cluster?,"ROSA makes use of a number of different cloud services such as virtual machines, storage, load balancers, etc. You can see a defined list in the [AWS prerequisites](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-aws-policy-provisioned_rosa-sts-aws-prereqs).","ROSA provides a secure network configuration using firewall rules for AWS Security Groups and DDoS protection with AWS Shield Standard. Customers can optionally configure their ROSA cluster endpoints to be made private so that the cluster control plane and applications are not accessible from the Internet. AWS customers can configure a private network connection to their ROSA cluster through technologies such as AWS VPC peering, AWS VPN, or AWS Direct Connect. Additionally, customers can add notification contacts for a ROSA cluster. Subscribed users receive emails about cluster events that require customer action, known cluster incidents, upgrade maintenance, and other topics. For more information, please visit the ROSA Webpage at https://www.openshift.com/products/amazon-openshift."
43,"I see there are two ""kinds"" of ROSA clusters. One uses an IAM user with admin permissions and the other AWS STS. Which should I choose?","AWS STS. These aren't ""kinds"" but rather credential methods. Basically, ""how do you grant Red Hat the permissions needed in order to perform the required actions in your AWS account?"". The roadmap forward is focused on STS, and the IAM user method will eventually be deprecated. This better aligns with principles of least privilege and is much better aligned to secure practices in cloud service resource management. Please see the section [ROSA with STS Explained](/rosa/15-sts_explained) for a detailed explanation.","There are currently two supported credential methods when deploying a ROSA cluster. The first method uses an IAM user with the *AdministratorAccess* policy (limited to the AWS account using ROSA) that allows the installer to create all the resources it needs, and allows the cluster to create/expand its own credentials as needed. The second, more recent, and **recommended** method uses AWS STS. This method uses predefined roles and policies to grant the service minimal permissions needed (least-privilege) to the AWS account in order to create and operate the cluster. Please see the section ""[ROSA with STS Explained](15-sts_explained.md)"" for a detailed explanation."
44,"I’m seeing a number of permission or failure errors related to prerequisite tasks or cluster creation, what might be the problem?",Please check for a newer version of the ROSA CLI. Every release of the ROSA CLI lands in two places: [Github](https://github.com/openshift/rosa/releases) and the [Red Hat signed binary releases](https://www.openshift.com/products/rosa/download).,"If you are seeing permission or failure errors related to prerequisite tasks or cluster creation, it is likely due to one of the prerequisites not being met. Ensure that you are logged in as an IAM user and not an assumed role or STS user, that you have administrator access to the AWS account of the cluster, and that you have access to the cluster as a user with the `cluster-admin` role. Additionally, if Red Hat OpenShift Service on AWS created a VPC, you must remove any network configurations, such as VPN configurations and VPC peering connections, and any additional services that were added to the VPC before you can successfully delete your cluster. Finally, make sure that you have the Red Hat OpenShift Service on AWS CLI (`oc`) installed. For more information, please refer to the ROSA Documentation at https://docs.openshift.com/rosa/welcome/index.html."
45,What are the available storage options?,Please refer to the [storage](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-storage_rosa-service-definition) section of the service definition.,"Red Hat OpenShift Service on AWS (ROSA) provides two prebuilt storage classes that use AWS Elastic Block Store (EBS) volumes. These storage classes are ready to use and some familiarity with Kubernetes and AWS is assumed. The two storage classes are gp3 and gp3-csi, with gp3 set as the default.

In addition, you can configure storage for the Collector, Ingester, and Query services under `spec.storage`. Multiple instances of each of these components can be provisioned as required for performance and resilience purposes.

For more information, please refer to the following documentation:
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)
- [Storage Classes](https://docs.openshift.com/rosa/4.5/storage/storage_classes.html)
- [Distributed Tracing Storage Configuration Options](https://docs.openshift.com/rosa/4.5/distributed_tracing/distributed_tracing_storage_configuration_options.html)"
46,What options are available to use shared storage in containers?,"AWS EFS (Using AWS EFS CSI Driver, OpenShift includes the CSI driver out of the box in 4.10.). See [Setting up AWS EFS for Red Hat OpenShift Service on AWS](https://docs.openshift.com/rosa/storage/persistent_storage/osd-persistent-storage-aws.html).","For Red Hat OpenShift Service on AWS (ROSA), there are several options available for shared storage in containers. These include using persistent volumes, distributed tracing storage, and replicated databases. 

Persistent volumes are attached to single pods and can provide a way to store data that is accessible to multiple containers. This can be used to store data that needs to be shared between containers, such as application configuration or user data.

Distributed tracing storage is used to store data related to distributed tracing. This data is used to track the performance of applications and services. The storage configuration options for distributed tracing can be configured under the `spec.storage` section.

Replicated databases can also be used to provide shared storage for containers. This can be used to store data that needs to be shared between containers, such as application configuration or user data. Replicated databases can provide a more reliable and resilient way to store data than single persistent volumes. 

For more information, please refer to the ROSA Documentation at https://docs.openshift.com/rosa/welcome/index.html."
47,Can I deploy into an already existing VPC and choose the specific subnets?,Yes.  At install time you are able to select whether you’d like to deploy to an existing VPC and then choose that VPC.  You will then be able to select the desired subnets and also provide a valid CIDR range (encompassing the subnets) the installer will handle using those subnets. Please see the [VPC](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-vpc_rosa-sts-aws-prereqs) section in the documentation for further details.,"Yes, you can deploy into an already existing VPC and choose the specific subnets. At install time you are able to select whether you’d like to deploy to an existing VPC and then choose that VPC. You will then be able to select the desired subnets and also provide a valid CIDR range (encompassing the subnets) the installer will handle using those subnets. Please see the [VPC](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-vpc_rosa-sts-aws-prereqs) section in the documentation for further details."
48,Which network plugin is used in Red Hat OpenShift Service on AWS?,Red Hat OpenShift Service on AWS uses the default OpenShift SDN network provider configured to NetworkPolicy mode. OVN-Kubernetes is on our roadmap.,"Red Hat OpenShift Service on AWS uses the OpenShift SDN network provider configured to NetworkPolicy mode by default. OVN-Kubernetes is supported on Red Hat OpenShift Service on AWS 4.7.32+, Red Hat OpenShift Service on AWS 4.8.12+, and Red Hat OpenShift Service on AWS 4.9+. Additionally, third-party Container Network Interface (CNI) plugins that have been certified on Red Hat OpenShift Service on AWS and passed Service Mesh conformance testing can be used. For more information, please see the [Certified OpenShift CNI Plug-ins](https://access.redhat.com/articles/5436171) page."
49,Is cross-namespace networking supported?,Cluster admins in ROSA can customize cross-namespace networking (including denying it) on a per project basis using NetworkPolicy objects. Refer to [Configuring multitenant isolation with network policy](https://docs.openshift.com/container-platform/4.10/networking/network_policy/multitenant-network-policy.html) on how to configure.,"Yes, cross-namespace networking is supported on Red Hat OpenShift Service on AWS. You can configure non-default pod network permissions for project and pod networks, pod ingress, and pod egress using NetworkPolicy objects. You can also use OpenShift Cluster Manager to request a private load balancer for default application routes, configure up to one additional public or private router shard and corresponding load balancer, request and configure any additional service load balancers for specific services, and configure any necessary DNS forwarding rules. Additionally, you can enable multicast for a project and use third-party Container Network Interface (CNI) plugins that have been certified on Red Hat OpenShift Service on AWS and passed Service Mesh conformance testing. For more information, please refer to the following links: 

- [Certified OpenShift CNI Plug-ins](https://access.redhat.com/articles/5436171)
- [OpenShift SDN Documentation](https://docs.openshift.com/container-platform/4.5/networking/openshift_sdn/index.html)
- [OVN-Kubernetes Documentation](https://docs.openshift.com/container-platform/4.5/"
50,Can more than one ROSA cluster be set up in one VPC?,"Yes, ROSA allows multiple clusters to share the same VPC. Essentially, the number of clusters would be limited by what AWS resource quota remains, as well as any chosen CIDR ranges that must not overlap. See [CIDR Range Definitions](https://docs.openshift.com/rosa/networking/cidr-range-definitions.html) for more information.","Yes, you can set up more than one ROSA cluster in one VPC. Each cluster will need its own CIDR range that does not overlap with other clusters in the same VPC. You can use AWS VPC peering, AWS VPN, or AWS Direct Connect to configure a private network connection to your ROSA cluster. Additionally, you can use OpenShift User Workload Monitoring to monitor containers and manage capacity using Prometheus/Grafana. For production workloads, it is recommended to deploy ROSA clusters across multiple availability zones for the highest level of fault tolerance."
51,Can I use Prometheus/Grafana to monitor containers and manage capacity?,"Yes, using OpenShift User Workload Monitoring. This is a check-box option in OpenShift Cluster Manager (console.redhat.com/openshift)","Yes, you can use Prometheus/Grafana to monitor containers and manage capacity on Red Hat OpenShift Service on AWS (ROSA). Prometheus is used to collect metrics from the cluster components and Grafana is used to visualize the metrics. You can use the OpenShift monitoring dashboard to run Prometheus Query Language (PromQL) queries to examine metrics visualized on a plot. As a dedicated-admin, you can query one or more namespaces at a time for metrics about user-defined projects. As a developer, you must specify a project name when querying metrics and you must have the required privileges to view metrics for the selected project. For more information, please refer to the following links: 

- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)
- [OpenShift Monitoring Dashboard](https://docs.openshift.com/rosa/4.5/monitoring/monitoring-dashboard.html)
- [Prometheus Query Language](https://prometheus.io/docs/prometheus/latest/querying/basics/)"
52,Can I see audit logs output from the cluster control-plane?,"If the Cluster Logging Operator Add-on has been added to the cluster then audit logs are available through CloudWatch.  If it has not, then a support request would allow you to request some audit logs. Small targeted and time-boxed logs can be requested for export and sent to a customer. The selection of audit logs available are at the discretion of SRE in the category of platform security and compliance. Requests for exports of a cluster’s entirety of logs will be rejected.","Yes, ROSA worker nodes use a different AMI from OSD and OCP. The control plane and infra node AMIs are common across products in the same version. For more information, please refer to the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)."
53,Can I use an AWS Permissions Boundary around the policies for my cluster?,"Yes, using AWS Permissions Boundary is supported.","Yes, you can use an AWS Permissions Boundary around the policies for your ROSA cluster. You will need to create a trust policy, create a role for AWS Prometheus and CloudWatch, create an IAM Role trust policy for the cluster, and attach the IAM Policy to the IAM Role. Please refer to the [documentation](https://docs.openshift.com/rosa/rosa_architecture/rosa-sts-about-iam-resources.html) for more details."
54,Do ROSA worker nodes share the same AMI as other OpenShift products?,ROSA worker nodes use a different AMI from OSD and OCP. Control Plane and Infra node AMIs are common across products in the same version.,"No, all nodes in a Red Hat OpenShift Service on AWS cluster must be located in the same AWS region. This follows the same model as that of OpenShift Container Platform (OCP). However, for clusters configured for multiple availability zones, control plane nodes and worker nodes will be distributed across the availability zones. For more information, please refer to the [OpenShift Container Platform documentation](https://docs.openshift.com/container-platform/4.4/architecture/infrastructure_components/regions-and-zones.html)."
55,Are backups taken for clusters?,"Only non-STS clusters have SRE managed backups at this time, which means that ROSA STS clusters don’t have backups. You can also see our [backup policy](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-backup-policy_rosa-service-definition). It is imperative for users to have their own backup policies for applications and data.","No, the ROSA CLI does not currently accept Multi-region KMS keys for EBS encryption. However, it does accept single region KMS keys for EBS Encryption as long as it is defined at cluster creation time. For more information, please refer to the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)."
56,Is ROSA GDPR Compliant?,Yes: [https://www.redhat.com/en/gdpr](https://www.redhat.com/en/gdpr),"Red Hat OpenShift Service on AWS (ROSA) is GDPR compliant and meets the requirements of the General Data Protection Regulation (GDPR). ROSA provides a ROSA-required service quota to ensure that customers have the resources they need to meet their GDPR requirements. Additionally, customers can add notification contacts for their ROSA cluster to receive emails about cluster events that require customer action, known cluster incidents, upgrade maintenance, and other topics. ROSA also provides cluster-specific Operator roles to help customers manage their clusters and ensure GDPR compliance. For more information, please refer to the following link: https://docs.openshift.com/rosa/4.5/compliance/gdpr.html."
57,Does the ROSA CLI accept Multi-region KMS keys for EBS encryption?,Not at this time. This feature is in our backlog. Though we do accept single region KMS keys for EBS Encryption as long as it is defined at cluster creation time.,"
Yes, the ROSA CLI does accept Multi-region KMS keys for EBS encryption. To configure a cluster with a custom KMS Key, you must create a symmetric KMS key and provide the Amazon Resource Name (ARN) when creating your cluster. To create a customer managed KMS key, follow the procedure for [Creating symmetric encryption KMS keys](https://docs.aws.amazon.com/kms/latest/developerguide/create-keys.html#create-symmetric-cmk). Additionally, the EBS operator role is required in addition to the account roles to successfully create your cluster. You can find more information on creating a ROSA cluster in STS mode with a custom KMS key in the official documentation [here](https://docs.openshift.com/rosa/rosa_getting_started/rosa-sts-creating-a-cluster-with-customizations.html#rosa-sts-creating-cluster-customizations_rosa-sts-creating-a-cluster-with-customizations)."
58,Can I define a custom domain and certificate for my applications?,Yes. See [Configuring custom domains for applications](https://docs.openshift.com/rosa/applications/deployments/osd-config-custom-domains-applications.html) for more information.,You can use the Knative (`kn`) CLI to dynamically issue a Certificate to every new Route. This approach allows you to securely expose multiple applications without having to manually update the Certificate resource. See [Dynamic TLS Certificates for Knative Routes](https://docs.openshift.com/rosa/applications/deployments/osd-config-dynamic-tls-certificates-knative-routes.html) for more information.
59,How are the ROSA domain certificates managed?,Red Hat infrastructure (Hive) manages certificate rotation for default application ingress (apps.*.openshiftapps.com),"ROSA domain certificates are managed by the ROSA service. The ROSA service automatically provisions and renews certificates for the domains associated with the cluster. Additionally, you can add notification contacts for a ROSA cluster. Subscribed users receive emails about cluster events that require customer action, known cluster incidents, upgrade maintenance, and other topics. For more information, please refer to the ROSA Documentation page: https://docs.openshift.com/rosa/welcome/index.html."
60,What features are upcoming for ROSA?,The current ROSA roadmap can be seen at: [https://red.ht/rosa-roadmap](https://red.ht/rosa-roadmap),"You can manage alerts for your ROSA cluster by subscribing to notifications. Subscribed users receive emails about cluster events that require customer action, known cluster incidents, upgrade maintenance, and other topics. To learn more, please refer to the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html#managing-alerts_rosa-managing-alerts)."
61,What kind of instances are supported for worker nodes?,"See [AWS compute types](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-aws-instance-types_rosa-service-definition) in the service definition for the up to date list of supported instance types.  Additionally, spot instances are supported.","Red Hat OpenShift Service on AWS (ROSA) supports a variety of instance types for worker nodes. The default machine pool node type and size cannot be changed after the cluster is created. The supported instance types and sizes are: m5.metal (96† vCPU, 384 GiB), m5.xlarge (4 vCPU, 16 GiB), m5.2xlarge (8 vCPU, 32 GiB), m5.4xlarge (16 vCPU, 64 GiB), m5.8xlarge (32 vCPU, 128 GiB), m5.12xlarge (48 vCPU, 192 GiB), m5.16xlarge (64 vCPU, 256 GiB), m5.24xlarge (96 vCPU, 384 GiB), m5a.xlarge (4 vCPU, 16 GiB), m5a.2xlarge (8 vCPU, 32 GiB), m5a.4xlarge (16 vCPU, 64 GiB), m5a.8xlarge (32 vCPU, 128 GiB), m5a.12xlarge (48 vCPU, 192 GiB), m5a.16xlarge (64 vCPU,"
62,"Does ROSA support an air-gapped, disconnected environment where the ROSA cluster does not have internet access?  ","No, the ROSA cluster must have egress to the internet to access our registry, S3, send metrics etc. The service requires a number of [egress endpoints](https://docs.openshift.com/rosa/rosa_install_access_delete_clusters/rosa_getting_started_iam/rosa-aws-prereqs.html#osd-aws-privatelink-firewall-prerequisites). Ingress can be limited to PrivateLink (for Red Hat SRE) and VPN or similar for customer access.","Yes, ROSA supports an air-gapped, disconnected environment where the ROSA cluster does not have internet access. In this case, ingress can be limited to PrivateLink (for Red Hat SRE) and VPN or similar for customer access. Additionally, node autoscaling is available, allowing you to automatically adjust the size of the cluster based on the current workload. For more information, please refer to the following resources: 
- [About autoscaling nodes on a cluster](https://docs.openshift.com/rosa/rosa_cluster_admin/rosa_nodes/rosa-nodes-about-autoscaling-nodes.html)
- [Understanding the ROSA deployment workflow](https://access.redhat.com/documentation/en-us/red_hat_openshift_service_on_aws/4/html-single/installing_accessing_and_deleting_rosa_clusters/#rosa-understanding-the-deployment-workflow)
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)"
63,Is node autoscaling available?,Yes. Autoscaling allows you to automatically adjust the size of the cluster based on the current workload. See [About autoscaling nodes on a cluster](https://docs.openshift.com/rosa/rosa_cluster_admin/rosa_nodes/rosa-nodes-about-autoscaling-nodes.html) in the documentation for more details.,"Yes, node autoscaling is available on Red Hat OpenShift Service on AWS. You can configure the autoscaler option to automatically scale the number of machines in a cluster. For more information, please refer to the following documentation link: [About autoscaling nodes on a cluster](https://docs.openshift.com/rosa/rosa_cluster_admin/rosa_nodes/rosa-nodes-about-autoscaling-nodes.html)."
64,What is the maximum number of worker nodes that a cluster can support?,The maximum number of worker nodes is 180 per ROSA cluster.  See here for [limits and scalability](https://docs.openshift.com/rosa/rosa_planning/rosa-limits-scalability.html) considerations and more details on node counts.,"Yes, a Red Hat OpenShift Service on AWS customer administrator can manage users and quotas in addition to accessing all user created projects. Resource quotas can be set per project to limit the amount of resources that can be consumed by a project. For more information, please refer to the [Resource Quotas documentation](https://docs.openshift.com/container-platform/4.10/applications/quotas/quotas-setting-per-project.html)."
